case_id,condition,field,ground_truth,bot_value,match,confidence,severity,evidence
receipt_001_occlusion,"Partial occlusion across vendor header",time,"10:24 AM","10:24",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24"""
receipt_001_occlusion,"Partial occlusion across vendor header",receipt_number,"#AR7739","#AR7739",true,high,INFO,"GT: ""#AR7739"" vs Bot: ""#AR7739"""
receipt_001_occlusion,"Partial occlusion across vendor header",subtotal,"14.7","14.7",true,high,INFO,"GT: 14.7 vs Bot: 14.7"
receipt_001_occlusion,"Partial occlusion across vendor header",taxes,"[object Object],[object Object]","0.74",true,high,INFO,"GT Tax: 0.74 vs Bot Tax: 0.74"
receipt_001_occlusion,"Partial occlusion across vendor header",payment_method,"Visa","VISA",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA"""
receipt_001_original,"original",vendor,"ARTISAN ROAST CAFE","ARTISAN ROAST CAFE",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""ARTISAN ROAST CAFE"""
receipt_001_original,"original",total,"15.44","15.44",true,high,INFO,"GT: 15.44 vs Bot: 15.44"
receipt_001_original,"original",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_original,"original",time,"10:24 AM","10:24 AM",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24 AM"""
receipt_001_original,"original",receipt_number,"#AR7739","#AR7739",true,high,INFO,"GT: ""#AR7739"" vs Bot: ""#AR7739"""
receipt_001_original,"original",subtotal,"14.7","14.7",true,high,INFO,"GT: 14.7 vs Bot: 14.7"
receipt_001_original,"original",taxes,"[object Object],[object Object]","0.74",true,high,INFO,"GT Tax: 0.74 vs Bot Tax: 0.74"
receipt_001_original,"original",payment_method,"Visa","VISA ending in 1984",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA ending in 1984"""
receipt_001_perspective,"Perspective skew simulation (affine scaling)",vendor,"ARTISAN ROAST CAFE","ARTISAN ROAST CAFE",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""ARTISAN ROAST CAFE"""
receipt_001_perspective,"Perspective skew simulation (affine scaling)",total,"15.44","49.81",false,high,CRITICAL,"GT: 15.44 vs Bot: 49.81"
receipt_001_perspective,"Perspective skew simulation (affine scaling)",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_perspective,"Perspective skew simulation (affine scaling)",time,"10:24 AM","10:24",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24"""
receipt_001_perspective,"Perspective skew simulation (affine scaling)",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_perspective,"Perspective skew simulation (affine scaling)",subtotal,"14.7","49.5",false,high,CRITICAL,"GT: 14.7 vs Bot: 49.5"
receipt_001_perspective,"Perspective skew simulation (affine scaling)",taxes,"[object Object],[object Object]","0.31",false,high,CRITICAL,"GT Tax: 0.74 vs Bot Tax: 0.31"
receipt_001_perspective,"Perspective skew simulation (affine scaling)",payment_method,"Visa","VISA",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA"""
receipt_001_rot25,"25-degree rotation (extreme)",vendor,"ARTISAN ROAST CAFE","SOREN WS",false,high,CRITICAL,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""SOREN WS"""
receipt_001_rot25,"25-degree rotation (extreme)",total,"15.44","0",false,low,HIGH,"GT: 15.44 vs Bot: 0"
receipt_001_rot25,"25-degree rotation (extreme)",date,"14-Oct-2024","Unknown Date",false,low,HIGH,"GT: ""14-Oct-2024"" vs Bot: ""Unknown Date"""
receipt_001_rot25,"25-degree rotation (extreme)",time,"10:24 AM","undefined",true,low,INFO,"GT: ""10:24 AM"" vs Bot: ""undefined"""
receipt_001_rot25,"25-degree rotation (extreme)",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_rot25,"25-degree rotation (extreme)",subtotal,"14.7","undefined",false,low,MEDIUM,"GT: 14.7 vs Bot: NaN"
receipt_001_rot25,"25-degree rotation (extreme)",taxes,"[object Object],[object Object]","undefined",false,low,MEDIUM,"GT Tax: 0.74 vs Bot Tax: 0"
receipt_001_rot25,"25-degree rotation (extreme)",payment_method,"Visa","undefined",true,low,INFO,"GT: ""Visa"" vs Bot: ""undefined"""
receipt_001_rot5,"5-degree clockwise rotation",vendor,"ARTISAN ROAST CAFE","REE INCE SOAS",false,high,CRITICAL,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""REE INCE SOAS"""
receipt_001_rot5,"5-degree clockwise rotation",total,"15.44","0",false,low,HIGH,"GT: 15.44 vs Bot: 0"
receipt_001_rot5,"5-degree clockwise rotation",date,"14-Oct-2024","Unknown Date",false,low,HIGH,"GT: ""14-Oct-2024"" vs Bot: ""Unknown Date"""
receipt_001_rot5,"5-degree clockwise rotation",time,"10:24 AM","undefined",true,low,INFO,"GT: ""10:24 AM"" vs Bot: ""undefined"""
receipt_001_rot5,"5-degree clockwise rotation",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_rot5,"5-degree clockwise rotation",subtotal,"14.7","undefined",false,low,MEDIUM,"GT: 14.7 vs Bot: NaN"
receipt_001_rot5,"5-degree clockwise rotation",taxes,"[object Object],[object Object]","undefined",false,low,MEDIUM,"GT Tax: 0.74 vs Bot Tax: 0"
receipt_001_rot5,"5-degree clockwise rotation",payment_method,"Visa","undefined",true,low,INFO,"GT: ""Visa"" vs Bot: ""undefined"""
receipt_001_shadow,"Diagonal shadow across line items",vendor,"ARTISAN ROAST CAFE","ARTISAN ROAST CAFE",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""ARTISAN ROAST CAFE"""
receipt_001_shadow,"Diagonal shadow across line items",total,"15.44","15.44",true,high,INFO,"GT: 15.44 vs Bot: 15.44"
receipt_001_shadow,"Diagonal shadow across line items",date,"14-Oct-2024","Unknown Date",false,low,HIGH,"GT: ""14-Oct-2024"" vs Bot: ""Unknown Date"""
receipt_001_shadow,"Diagonal shadow across line items",time,"10:24 AM","undefined",true,low,INFO,"GT: ""10:24 AM"" vs Bot: ""undefined"""
receipt_001_shadow,"Diagonal shadow across line items",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_shadow,"Diagonal shadow across line items",subtotal,"14.7","undefined",false,low,MEDIUM,"GT: 14.7 vs Bot: NaN"
receipt_001_shadow,"Diagonal shadow across line items",taxes,"[object Object],[object Object]","undefined",false,low,MEDIUM,"GT Tax: 0.74 vs Bot Tax: 0"
receipt_001_shadow,"Diagonal shadow across line items",payment_method,"Visa","VISA ending in 1984",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA ending in 1984"""
